CustomerID,Lookalike1,Lookalike2,Lookalike3
C0001,"('C0137', 0.9999985812865336)","('C0152', 0.9999971194363196)","('C0107', 0.9997892870246046)"
C0002,"('C0142', 0.9994952512813969)","('C0177', 0.9985201940732467)","('C0027', 0.9982702534720521)"
C0003,"('C0133', 0.9999144235166526)","('C0052', 0.9998062917147238)","('C0192', 0.9985149947184144)"
C0004,"('C0113', 0.9994643698045159)","('C0102', 0.9989611987010023)","('C0104', 0.9974771755859404)"
C0005,"('C0159', 0.999994355046566)","('C0186', 0.9997093930389294)","('C0007', 0.9988666995800647)"
C0006,"('C0158', 0.9992057361775157)","('C0168', 0.9980748049858132)","('C0133', 0.9942892356902706)"
C0007,"('C0159', 0.9990209833170246)","('C0115', 0.998867285698473)","('C0005', 0.9988666995800647)"
C0008,"('C0109', 0.9977162137280893)","('C0139', 0.9926923444708396)","('C0098', 0.9919824807124694)"
C0009,"('C0198', 0.9952920882407016)","('C0063', 0.9942780494172924)","('C0062', 0.9933068329333079)"
C0010,"('C0199', 0.9997530551885219)","('C0166', 0.998315680949909)","('C0121', 0.9979660597869211)"
C0011,"('C0107', 0.9999678578180878)","('C0048', 0.9999586489917822)","('C0152', 0.9996581981402336)"
C0012,"('C0155', 0.9999572653230463)","('C0108', 0.9997013915668136)","('C0013', 0.9988581485726948)"
C0013,"('C0087', 0.9993449018438413)","('C0155', 0.9992571311225632)","('C0012', 0.9988581485726948)"
C0014,"('C0060', 0.9997512176329124)","('C0198', 0.9885602748142988)","('C0063', 0.9853993396992082)"
C0015,"('C0144', 0.999907468280869)","('C0020', 0.9900066387488197)","('C0036', 0.989152024648646)"
C0016,"('C0183', 0.999998355245887)","('C0018', 0.9977921927970999)","('C0072', 0.9977700576613558)"
C0017,"('C0124', 0.9972490848170238)","('C0075', 0.997114093992169)","('C0051', 0.9941572091057123)"
C0018,"('C0016', 0.9977921927970999)","('C0183', 0.9976700977264135)","('C0067', 0.9954261627823054)"
C0019,"('C0172', 0.9999992888655773)","('C0127', 0.9969981025042056)","('C0111', 0.9950393179322089)"
C0020,"('C0058', 0.9987745302808152)","('C0033', 0.9972335461223633)","('C0015', 0.9900066387488197)"
C0021,"('C0101', 0.9999697912210189)","('C0145', 0.9997850033002862)","('C0162', 0.9993079357178214)"
C0022,"('C0136', 0.9996968669056987)","('C0200', 0.9951511672018526)","('C0090', 0.9949817038605968)"
C0023,"('C0100', 0.9999457397759375)","('C0053', 0.9999448107927537)","('C0105', 0.9997193641521921)"
C0024,"('C0194', 0.9998672018099204)","('C0047', 0.9986607575233964)","('C0139', 0.9971652004344361)"
C0025,"('C0031', 0.999375923589904)","('C0192', 0.9991588205275956)","('C0052', 0.9971254665349497)"
C0026,"('C0117', 0.99928819629355)","('C0125', 0.998922204157482)","('C0079', 0.9984882422142876)"
C0027,"('C0146', 0.9999997869756269)","('C0177', 0.9999902454636351)","('C0178', 0.9999269796554312)"
C0028,"('C0145', 0.9982055828783604)","('C0054', 0.9978299683740257)","('C0101', 0.997345457034661)"
C0029,"('C0094', 0.9985957068503984)","('C0035', 0.997729108056881)","('C0125', 0.9950804917073404)"
C0030,"('C0189', 0.9999728311692989)","('C0038', 0.9999328513347154)","('C0055', 0.9997075000588099)"
C0031,"('C0192', 0.9999838210909447)","('C0025', 0.999375923589904)","('C0052', 0.9991795929923022)"
C0032,"('C0083', 0.9999962565502103)","('C0077', 0.9998894286309172)","('C0071', 0.997848595960704)"
C0033,"('C0058', 0.9996902933832242)","('C0020', 0.9972335461223633)","('C0015', 0.9856476218218098)"
C0034,"('C0116', 0.9997322559806243)","('C0154', 0.9989592409094258)","('C0024', 0.9960630486093649)"
C0035,"('C0125', 0.9994935635208123)","('C0029', 0.997729108056881)","('C0026', 0.996939285630923)"
C0036,"('C0131', 0.9999830478550483)","('C0176', 0.9992065480729064)","('C0042', 0.9989404653033147)"
C0037,"('C0149', 0.9999379983033673)","('C0064', 0.9998760133675444)","('C0170', 0.9987971812470506)"
C0038,"('C0189', 0.9999911071516773)","('C0030', 0.9999328513347154)","('C0055', 0.9999206383984105)"
C0039,"('C0169', 0.9972784256777976)","('C0126', 0.9972528933938547)","('C0195', 0.9970387674745723)"
